dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01002053,6290,5873,6145,6470,5366,6143,443,4285
Data Zone S01002054,5681,5029,5169,6404,4825,4517,944,5164
Data Zone S01002055,5443,5215,5848,6239,4487,1279,6120,5193
Data Zone S01002056,3993,3236,3937,2737,4551,3675,3488,4820
Data Zone S01002057,5956,5548,5350,5309,5958,4643,5207,2785
Data Zone S01002058,2562,3026,2398,4237,1213,4982,12,2542
Data Zone S01002059,2868,3223,2942,3659,1714,6093,101,1000
Data Zone S01002060,5268,5244,5680,5207,3179,6119,244,2889
Data Zone S01002061,4335,3650,3996,5819,3673,6402,249,1935
Data Zone S01002062,1317,1371,1043,1371,1586,3989,384,2863
Data Zone S01002063,4567,4378,4349,4861,3707,6409,291,1587
Data Zone S01002064,3537,3043,3424,5059,1977,5868,1102,2808
Data Zone S01002065,5360,4504,4841,6426,4628,6160,770,2936
Data Zone S01002066,3408,4070,3731,4038,2601,5932,133,281
Data Zone S01002067,4938,4027,4749,4053,4328,6297,2908,3147
Data Zone S01002068,3165,3529,3260,3321,1941,6285,23,2071
Data Zone S01002069,5355,5020,4401,4770,5908,3745,5593,3520
Data Zone S01002070,3523,2608,3353,5077,3143,5555,397,3141
Data Zone S01002071,5282,4942,5554,4641,4983,6308,314,1602
Data Zone S01002072,6075,5463,6238,5010,5814,3684,4785,4085
Data Zone S01002073,2555,2909,2182,3383,2093,6007,13,1546
Data Zone S01002074,6211,5687,5329,5959,5819,4611,5984,4840
Data Zone S01002075,5150,4344,5362,5259,3902,5729,780,3038
Data Zone S01002076,2888,2932,3291,3126,2981,6379,72,303
Data Zone S01002077,5892,5492,6088,4885,6057,2191,5719,5104
Data Zone S01002078,4560,5052,4178,5618,4828,1254,4234,1836
Data Zone S01002079,2498,2311,2612,4306,1289,5153,261,2343
Data Zone S01002080,6020,6169,5551,5071,5705,4353,5471,2253
Data Zone S01002081,3393,3488,3899,3963,1410,5606,727,2156
Data Zone S01002082,5649,4457,5938,4704,4528,4955,4894,5130
Data Zone S01002083,1253,1321,1144,1611,884,2245,950,4947
Data Zone S01002084,4623,4238,5120,6128,2785,6301,458,926
Data Zone S01002085,4983,5235,4488,5849,2739,6498,338,3174
Data Zone S01002086,3355,3438,3366,4352,4152,5914,117,209
Data Zone S01002087,2131,2057,2063,2565,2607,5949,539,370
Data Zone S01002088,4644,4305,4494,4083,5069,1811,4722,4392
Data Zone S01002089,6449,6201,5898,5673,6353,4701,5809,5476
Data Zone S01002090,4205,3938,4240,3317,4808,1961,3644,4014
Data Zone S01002091,3140,4318,4517,4826,459,5915,238,973
Data Zone S01002092,5773,5805,4829,4448,6351,3997,5642,3579
Data Zone S01002093,3587,3413,3696,5229,2383,5850,262,1027
Data Zone S01002094,2917,2877,2569,3531,2638,3052,1181,2975
Data Zone S01002095,6285,5978,5941,6338,6025,3131,5067,4593
Data Zone S01002096,6429,6293,6373,6282,6180,3379,6080,3965
Data Zone S01002097,6338,5655,6328,5442,5809,4530,5897,4756
Data Zone S01002098,4174,3261,3912,3145,5335,4214,3700,3516
Data Zone S01002099,5897,5754,5506,6197,4197,5529,1356,3370
Data Zone S01002100,4451,3808,3756,4485,3509,5704,4135,3497
Data Zone S01002101,1270,1393,1338,1233,1257,3197,471,1157
Data Zone S01002102,1215,1165,2493,1819,199,5084,925,495
Data Zone S01002103,5995,5759,5722,5723,6095,2593,4854,4065
Data Zone S01002104,1852,1995,2000,1748,1387,4642,298,1870
Data Zone S01002105,6324,6229,6448,5958,6489,2473,6083,3837
Data Zone S01002106,3880,4843,4619,4313,3538,5989,78,32
Data Zone S01002107,5284,5262,5914,4955,3320,4085,2770,2050
Data Zone S01002108,2531,3590,3297,2453,1923,4997,245,39
Data Zone S01002109,4593,5401,5094,5584,4334,5515,310,52
Data Zone S01002110,6438,6378,6368,6056,6499,3621,5219,3679
Data Zone S01002111,6196,5424,5338,5978,6328,4723,6027,4396
Data Zone S01002112,4799,4986,4382,3542,5147,2194,4315,4214
Data Zone S01002113,6272,6405,6043,5211,6070,2793,5778,5173
Data Zone S01002114,6335,6456,6058,6371,6368,2397,5677,4434
Data Zone S01002115,6397,6337,6397,6358,6181,5196,2838,1848
Data Zone S01002116,3363,2699,3354,3323,3276,4000,2667,3234
Data Zone S01002117,2860,4004,3171,3479,1170,4759,143,875
Data Zone S01002118,2298,2931,2596,1343,4018,5661,275,92
Data Zone S01002119,2796,2102,3439,2631,1674,4624,3836,4116
Data Zone S01002120,5300,4971,5226,6419,4888,2466,3210,2257
Data Zone S01002121,4145,3736,4031,3488,3529,4428,2293,3247
Data Zone S01002122,6288,6466,6380,6191,6502,1767,6382,4405
Data Zone S01002123,6204,6278,6465,6230,6018,1455,6332,5500
Data Zone S01002124,5562,5024,5525,5182,5390,2447,5107,4638
Data Zone S01002125,4889,4436,4448,4282,5385,3548,2370,2964
Data Zone S01002126,5949,5740,5523,5082,5155,3273,4528,6310
Data Zone S01002127,4255,3394,3813,4230,4576,5814,1568,2332
Data Zone S01002128,4957,5905,5819,6312,4841,3796,536,53
Data Zone S01002129,1842,2869,1805,1940,740,5269,370,1119
Data Zone S01002130,5440,5351,5295,6264,3406,2876,4117,4701
Data Zone S01002131,2964,4308,3384,3664,2356,5039,195,7
Data Zone S01002132,4484,3782,4466,4073,3420,4277,2988,4207
Data Zone S01002133,6184,5777,5859,6092,6397,3634,2888,3449
Data Zone S01002134,6072,6264,5689,5561,5412,3145,5560,3596
Data Zone S01002135,6453,6388,6463,6076,6442,3325,6036,4196
Data Zone S01002136,6134,5993,6284,6227,5118,2791,1926,5115
Data Zone S01002137,4273,3764,3969,4761,3623,2896,3719,3869
Data Zone S01002138,2144,1851,1816,1687,3596,4233,1082,3176
