GeographyCode,GR-denominatorindP,GR-Percchild,GR-Percpens,GR-Percwork
S01002242,788,17.77,23.6,58.63
S01002243,767,16.82,10.43,72.75
S01002244,724,10.64,12.85,76.52
S01002245,949,12.01,10.43,77.56
S01002246,895,8.16,15.98,75.87
S01002247,921,23.67,22.8,53.53
S01002248,1169,15.4,27.72,56.89
S01002249,784,12.76,27.55,59.69
S01002250,973,18.71,12.74,68.55
S01002251,826,23.73,11.26,65.01
S01002252,607,14.5,28.83,56.67
S01002253,1005,14.73,29.55,55.72
S01002254,788,8.63,11.17,80.2
S01002255,1039,9.24,16.75,74.01
S01002256,768,9.64,18.23,72.14
S01002257,713,23.14,14.17,62.69
S01002258,777,14.67,16.99,68.34
S01002259,537,18.25,23.65,58.1
S01002260,853,19.34,20.52,60.14
S01002261,1022,16.34,21.62,62.04
S01002262,789,15.84,28.64,55.51
S01002263,794,14.36,31.36,54.28
S01002264,867,19.95,14.19,65.86
S01002265,1038,29.19,18.5,52.31
S01002266,645,12.71,16.59,70.7
S01002267,972,20.47,11.42,68.11
S01002268,715,21.68,28.67,49.65
S01002269,910,13.52,25.82,60.66
S01002270,914,13.57,11.49,74.95
S01002271,853,17.58,21.81,60.61
S01002272,560,21.96,11.61,66.43
S01002273,792,12.63,14.9,72.47
S01002274,779,12.84,18.23,68.93
S01002275,955,26.28,9.63,64.08
S01002276,813,21.16,18.94,59.9
S01002277,781,22.79,13.83,63.38
S01002278,1064,26.6,9.02,64.38
S01002279,961,25.81,10.3,63.89
S01002280,797,21.08,18.82,60.1
S01002281,768,32.94,12.24,54.82
S01002282,967,26.68,11.69,61.63
S01002283,744,20.3,22.72,56.99
S01002284,1023,22.68,19.45,57.87
S01002285,782,14.19,21.61,64.19
S01002286,783,12.64,20.95,66.41
S01002287,772,19.17,20.85,59.97
S01002288,749,12.95,5.87,81.17
S01002289,799,10.14,31.66,58.2
S01002290,795,14.97,11.82,73.21
S01002291,838,20.53,12.29,67.18
S01002292,810,11.98,14.57,73.46
S01002293,874,22.54,11.44,66.02
S01002294,632,14.87,28.01,57.12
S01002295,758,20.58,19.79,59.63
S01002296,738,26.56,13.82,59.62
